date,river_max_c,air_max_c,offset_c,month,year
2008-10-14,27.407,25.0,2.407,10,2008
2008-10-15,27.284,24.5,2.783999999999999,10,2008
2008-10-16,24.146,22.8,1.346,10,2008
2008-10-17,22.776,17.4,5.376000000000001,10,2008
2008-10-18,20.96,19.9,1.0600000000000023,10,2008
2008-10-19,20.055,20.9,-0.8449999999999989,10,2008
2008-10-20,21.342,20.4,0.9420000000000002,10,2008
2008-10-21,20.746,21.9,-1.154,10,2008
2008-10-22,21.079,16.8,4.279,10,2008
2008-10-23,20.079,15.8,4.279,10,2008
2008-10-24,20.722,20.3,0.4220000000000006,10,2008
2008-10-25,20.031,19.4,0.6310000000000002,10,2008
2008-10-26,19.912,20.6,-0.6880000000000024,10,2008
2008-10-27,21.056,18.9,2.1560000000000024,10,2008
2008-10-28,19.936,13.4,6.536,10,2008
2008-10-29,19.603,9.9,9.703000000000001,10,2008
2008-10-30,19.46,10.6,8.860000000000001,10,2008
2008-10-31,19.674,15.2,4.474,10,2008
2008-11-01,19.627,16.6,3.0269999999999975,11,2008
2008-11-02,19.746,20.7,-0.9540000000000006,11,2008
2008-11-03,20.007,16.8,3.2070000000000007,11,2008
2008-11-04,20.293,14.2,6.093,11,2008
2008-11-05,20.007,12.9,7.107000000000001,11,2008
2008-11-06,19.746,13.3,6.445999999999998,11,2008
2008-11-07,21.437,15.5,5.937000000000001,11,2008
2008-11-08,19.555,15.0,4.555,11,2008
2008-11-09,19.484,15.9,3.5840000000000014,11,2008
2008-11-10,21.652,16.1,5.552,11,2008
2008-11-11,22.441,15.7,6.741,11,2008
2008-11-12,23.112,13.2,9.911999999999999,11,2008
2008-11-13,22.92,11.7,11.220000000000002,11,2008
2008-11-14,22.011,11.5,10.511,11,2008
2008-11-15,21.867,12.9,8.967,11,2008
2008-11-16,21.987,13.4,8.586999999999998,11,2008
2008-11-17,25.817,13.7,12.117,11,2008
2008-11-18,22.968,12.8,10.168,11,2008
2008-11-19,25.137,12.8,12.337,11,2008
2008-11-20,26.744,11.9,14.844,11,2008
2008-11-21,20.817,13.6,7.2170000000000005,11,2008
2008-11-22,20.579,10.2,10.379000000000001,11,2008
2008-11-23,17.51,6.5,11.010000000000002,11,2008
2008-11-24,18.152,9.7,8.452000000000002,11,2008
2008-11-25,10.614,7.5,3.1140000000000008,11,2008
2008-11-26,9.78,7.7,2.079999999999999,11,2008
2008-11-27,9.287,9.6,-0.31299999999999883,11,2008
2008-11-28,9.163,6.1,3.0630000000000006,11,2008
2008-11-29,8.965,10.3,-1.3350000000000009,11,2008
2008-11-30,8.99,11.9,-2.91,11,2008
2008-12-01,9.262,9.7,-0.43799999999999883,12,2008
2008-12-02,9.04,8.5,0.5399999999999991,12,2008
2008-12-03,8.817,6.2,2.617,12,2008
2008-12-04,8.693,8.5,0.19299999999999962,12,2008
2008-12-05,9.262,12.2,-2.937999999999999,12,2008
2008-12-06,8.792,11.4,-2.6080000000000005,12,2008
2008-12-07,8.668,8.7,-0.03200000000000003,12,2008
2008-12-08,8.568,10.9,-2.3320000000000007,12,2008
2008-12-09,8.22,10.8,-2.58,12,2008
2008-12-10,8.095,6.5,1.5950000000000006,12,2008
2008-12-11,7.569,5.0,2.569,12,2008
2008-12-12,7.116,4.7,2.4159999999999995,12,2008
2008-12-13,6.763,8.4,-1.6370000000000005,12,2008
2008-12-14,7.142,9.6,-2.4579999999999993,12,2008
2008-12-15,6.99,7.3,-0.3099999999999996,12,2008
2008-12-16,7.116,5.7,1.4159999999999995,12,2008
2008-12-17,7.343,6.0,1.343,12,2008
2008-12-18,7.318,7.0,0.3179999999999996,12,2008
2008-12-19,7.594,9.7,-2.105999999999999,12,2008
2008-12-20,8.145,10.1,-1.955,12,2008
2008-12-21,8.693,11.6,-2.907,12,2008
2008-12-22,8.693,11.5,-2.8070000000000004,12,2008
2008-12-23,8.841,12.0,-3.1590000000000007,12,2008
2008-12-24,8.767,11.6,-2.833,12,2008
2008-12-25,8.469,7.3,1.1689999999999996,12,2008
2008-12-26,8.494,7.7,0.7939999999999996,12,2008
2008-12-27,8.444,8.6,-0.1559999999999988,12,2008
2008-12-28,8.27,5.9,2.369999999999999,12,2008
2008-12-29,8.643,6.4,2.2430000000000003,12,2008
2008-12-30,8.841,10.1,-1.2590000000000003,12,2008
2008-12-31,8.767,8.9,-0.1330000000000009,12,2008
2009-01-01,8.444,9.3,-0.8559999999999999,1,2009
2009-01-02,8.095,8.3,-0.20500000000000007,1,2009
2009-01-03,7.519,7.7,-0.18100000000000005,1,2009
2009-01-04,6.661,6.3,0.36099999999999977,1,2009
2009-01-05,5.77,5.4,0.3699999999999992,1,2009
2009-01-06,5.179,3.0,2.1790000000000003,1,2009
2009-01-07,5.05,0.3,4.75,1,2009
2009-01-08,4.947,3.4,1.5470000000000002,1,2009
2009-01-09,5.616,5.2,0.4159999999999995,1,2009
2009-01-10,5.898,9.9,-4.002000000000001,1,2009
2009-01-11,6.433,9.4,-2.9670000000000005,1,2009
2009-01-12,6.864,10.6,-3.7359999999999998,1,2009
2009-01-13,6.737,10.4,-3.6630000000000003,1,2009
2009-01-14,6.839,8.6,-1.7609999999999992,1,2009
2009-01-15,6.535,9.5,-2.965,1,2009
2009-01-16,6.889,10.8,-3.9110000000000005,1,2009
2009-01-17,7.167,11.0,-3.833,1,2009
2009-01-18,7.343,10.8,-3.4570000000000007,1,2009
2009-01-19,7.995,13.2,-5.204999999999999,1,2009
2009-01-20,8.444,10.1,-1.6559999999999988,1,2009
2009-01-21,7.569,9.4,-1.8310000000000004,1,2009
2009-01-22,7.494,6.6,0.8940000000000001,1,2009
2009-01-23,7.293,8.4,-1.1070000000000002,1,2009
2009-01-24,6.864,9.3,-2.436000000000001,1,2009
2009-01-25,6.712,9.8,-3.088000000000001,1,2009
2009-01-26,6.687,6.2,0.4870000000000001,1,2009
2009-01-27,6.737,8.7,-1.9629999999999992,1,2009
2009-01-28,6.661,7.5,-0.8390000000000004,1,2009
2009-01-29,6.737,9.2,-2.462999999999999,1,2009
2009-01-30,6.99,11.2,-4.209999999999999,1,2009
2009-01-31,7.393,11.1,-3.707,1,2009
2009-02-01,7.97,10.5,-2.5300000000000002,2,2009
2009-02-02,8.295,10.2,-1.9049999999999994,2,2009
2009-02-03,7.795,9.8,-2.005000000000001,2,2009
